gene_id	control_rep1	control_rep2	control_rep3	treat1_rep1	treat1_rep2	treat1_rep3	treat2_rep1	treat2_rep2	treat2_rep3
ENSG00000173599:PC	0	0	0	0	0	0	0	0	0
ENSG00000106344:RBM28	1	0	2	0	0	1	1	1	0
ENSG00000131126:TEX101	2	0	2	0	0	1	1	1	0
ENSG00000154342:WNT3A	652	690	639	607	453	461	809	994	1054
ENSG00000196415:PRTN3	3372	3631	3188	4644	3168	3514	4789	5466	6303
ENSG00000173020:GRK2	694	784	829	974	580	716	413	545	596
ENSG00000140598:EFL1	87	73	81	100	77	72	63	87	89
ENSG00000187514:PTMA	4	4	2	0	5	2	1	4	7
ENSG00000139263:LRIG3	1374	1789	1564	1933	1459	1584	482	729	829
ENSG00000165898:ISCA2	3639	4533	3921	3879	3500	3439	3324	4683	5550
ENSG00000179454:KLHL28	12448	13414	13250	17472	12333	13830	9964	14070	15050
ENSG00000226941:RBMY1J	3	1	1	0	3	4	0	4	0
ENSG00000188868:ZNF563	507	594	535	635	427	464	432	540	643
ENSG00000274529:SEBOX	0	0	4	0	0	0	0	0	0
ENSG00000249158:PCDHA11	0	11	2	0	2	1	2	1	2
ENSG00000110852:CLEC2B	11	6	15	3	9	10	5	4	3
ENSG00000139194:RBP5	3042	3255	3107	4103	2923	3245	3612	4319	4787
ENSG00000221988:PPT2	608	795	683	1084	717	772	912	1109	1295
ENSG00000072135:PTPN18	63	71	73	76	33	54	13	29	11
ENSG00000123095:BHLHE41	1617	1794	1686	2597	1764	1931	1829	2153	2451
ENSG00000204531:POU5F1	155	161	164	208	141	155	55	78	93
ENSG00000156009:MAGEA8	1099	1052	1125	1327	894	1024	1034	1403	1552
ENSG00000107317:PTGDS	617	605	593	841	614	717	357	454	555
ENSG00000165233:CARD19	1973	2087	1960	2945	2016	2182	1446	1771	1963
ENSG00000185264:TEX33	315	368	299	446	352	334	335	431	469
ENSG00000102678:FGF9	9	18	10	14	11	19	11	18	24
ENSG00000186827:TNFRSF4	2312	2430	2475	3304	2321	2516	1349	1612	1823
ENSG00000160570:DEDD2	1631	2069	1855	2256	1668	1902	1830	2462	2685
ENSG00000243709:LEFTY1	2305	2722	2407	3707	2618	2884	2417	3015	3580
ENSG00000134986:NREP	4580	5223	4974	7244	4883	5645	4799	5534	6018
ENSG00000163138:PACRGL	1164	1412	1188	1915	1488	1519	1823	1916	2210
ENSG00000177380:PPFIA3	64	64	70	79	61	73	28	33	40
ENSG00000178685:PARP10	13	12	16	7	8	6	15	2	8
ENSG00000182134:TDRKH	572	582	561	805	556	651	494	580	695
ENSG00000014257:ACP3	118	118	127	94	97	82	59	64	86
ENSG00000183840:GPR39	1982	2188	2100	3311	2255	2660	3206	3949	4355
ENSG00000146700:SSC4D	1946	2004	1963	2841	2161	2259	2760	3390	3765
